N,wall_time_s,cpu_time_s,peak_memory_MB,wall_per_img_ms,cpu_per_img_ms
10,1.1207479999866337,1.1216389999999592,3.9048070907592773,112.07479999866337,112.16389999999592
50,5.375354499992682,5.446931000000404,3.9051408767700195,107.50708999985363,108.93862000000809
100,10.654417415993521,10.738999999999578,3.9054155349731445,106.54417415993521,107.38999999999578
500,53.56597016600426,54.930867999999464,3.907118797302246,107.13194033200853,109.86173599999893
1000,108.88315162502113,110.40145099999972,3.9069318771362305,108.88315162502113,110.40145099999972
